CustomerID,Date,Items
1000,2014-06-24,"['whole milk', 'salty snack', 'pastry']"
1000,2015-03-15,"['whole milk', 'semi-finished bread', 'sausage', 'yogurt']"
1000,2015-05-27,"['soda', 'pickled vegetables']"
1000,2015-07-24,"['misc. beverages', 'canned beer']"
1000,2015-11-25,"['hygiene articles', 'sausage']"
1001,2014-02-07,"['whole milk', 'sausage', 'rolls/buns']"
1001,2014-12-12,"['soda', 'whole milk']"
1001,2015-01-20,"['soda', 'whipped/sour cream', 'frankfurter']"
1001,2015-04-14,"['beef', 'white bread']"
1001,2015-05-02,"['curd', 'frankfurter']"
1002,2014-02-09,"['frozen vegetables', 'other vegetables']"
1002,2014-04-26,"['butter', 'whole milk']"
1002,2015-04-26,"['tropical fruit', 'sugar']"
1002,2015-08-30,"['specialty chocolate', 'butter milk']"
1003,2014-01-19,"['dental care', 'frozen meals']"
1003,2014-02-27,['rolls/buns']
1003,2014-10-15,"['root vegetables', 'detergent']"
1003,2015-02-10,"['sausage', 'rolls/buns']"
1004,2014-02-04,"['whole milk', 'tropical fruit', 'pip fruit']"
1004,2014-05-01,"['cling film/bags', 'dish cleaner']"
1004,2014-06-10,"['chocolate', 'rolls/buns', 'red/blush wine']"
1004,2014-07-01,"['frozen fish', 'canned beer']"
1004,2014-07-10,"['other vegetables', 'shopping bags']"
1004,2014-08-19,"['root vegetables', 'whole milk', 'pastry']"
1004,2014-10-13,"['chocolate', 'whole milk', 'rolls/buns', 'packaged fruit/vegetables']"
1004,2015-12-02,"['hygiene articles', 'other vegetables']"
1005,2014-01-09,['rolls/buns']
1005,2014-01-23,"['whipped/sour cream', 'margarine']"
1006,2014-04-09,"['rice', 'whole milk']"
1006,2014-07-05,"['softener', 'rolls/buns', 'bottled water']"
1006,2014-07-11,"['skin care', 'shopping bags']"
1006,2015-06-14,"['chicken', 'frankfurter', 'whole milk', 'bottled beer', 'rolls/buns', 'chocolate', 'flour']"
1008,2015-07-21,"['soda', 'root vegetables', 'white wine', 'domestic eggs', 'tropical fruit', 'photo/film', 'yogurt']"
1008,2015-10-03,"['liquor (appetizer)', 'hamburger meat', 'dessert', 'liver loaf']"
1009,2014-01-24,"['canned fish', 'cocoa drinks']"
1009,2015-05-14,"['yogurt', 'tropical fruit']"
1009,2015-09-23,"['ketchup', 'pastry']"
1009,2015-10-05,"['newspapers', 'yogurt', 'herbs']"
1010,2014-03-05,"['coffee', 'UHT-milk', 'pip fruit']"
1010,2014-04-10,"['sliced cheese', 'kitchen towels']"
1010,2014-08-23,"['specialty bar', 'bottled water']"
1010,2014-08-27,"['bottled water', 'frankfurter']"
1010,2015-07-31,"['candles', 'rolls/buns', 'pip fruit']"
1011,2014-02-15,"['candy', 'citrus fruit', 'bottled water', 'rolls/buns']"
1011,2014-06-02,"['curd cheese', 'pastry']"
1011,2015-12-09,"['frankfurter', 'candles', 'whole milk', 'herbs', 'other vegetables', 'yogurt', 'grapes']"
1012,2014-06-22,"['frozen vegetables', 'brown bread']"
1012,2015-03-27,"['whole milk', 'processed cheese']"
1012,2015-10-03,"['yogurt', 'frankfurter']"
1012,2015-11-19,"['root vegetables', 'tropical fruit', 'onions', 'rolls/buns', 'shopping bags']"
1013,2014-01-17,"['hard cheese', 'napkins', 'bottled water']"
1013,2014-02-20,"['whole milk', 'candy']"
1013,2014-03-26,"['frozen vegetables', 'tropical fruit']"
1013,2014-03-28,"['mustard', 'whipped/sour cream']"
1013,2014-07-15,"['mustard', 'other vegetables']"
1013,2014-11-12,"['root vegetables', 'mayonnaise']"
1013,2015-07-02,"['whole milk', 'frozen meals']"
