CustomerID,Date,Items
4387,2015-02-10,"['root vegetables', 'baking powder']"
2441,2014-10-12,"['root vegetables', 'nut snack']"
1827,2014-11-27,"['other vegetables', 'pip fruit']"
3617,2014-07-28,"['brown bread', 'oil']"
4813,2015-08-04,"['specialty chocolate', 'citrus fruit']"
3632,2014-10-05,"['newspapers', 'tropical fruit']"
1246,2014-12-29,"['UHT-milk', 'other vegetables']"
2696,2015-09-02,"['other vegetables', 'pip fruit']"
4176,2015-05-05,"['semi-finished bread', 'flour']"
3520,2014-05-12,"['pudding powder', 'sliced cheese']"
4354,2015-01-16,"['beverages', 'oil']"
1108,2014-08-22,"['oil', 'pastry', 'salty snack']"
3046,2015-01-09,"['whole milk', 'sausage']"
2730,2015-06-15,"['chicken', 'abrasive cleaner']"
1041,2014-06-13,"['frozen vegetables', 'chicken', 'candy']"
4115,2014-02-08,"['yogurt', 'other vegetables']"
1202,2015-04-22,"['rolls/buns', 'yogurt']"
1625,2015-11-27,"['root vegetables', 'rolls/buns', 'napkins', 'soft cheese', 'packaged fruit/vegetables']"
4120,2015-03-13,['rolls/buns']
3313,2014-03-01,"['bottled beer', 'hard cheese']"
3962,2014-12-13,"['white bread', 'rolls/buns']"
3484,2015-08-05,"['rolls/buns', 'canned beer']"
4314,2014-01-27,"['whole milk', 'margarine']"
4867,2015-10-29,"['beef', 'rolls/buns']"
2882,2015-06-12,"['berries', 'other vegetables']"
2152,2014-11-23,"['soda', 'whole milk', 'bottled water']"
4768,2015-03-13,"['flour', 'yogurt', 'hamburger meat', 'pork']"
1892,2015-04-24,"['whole milk', 'yogurt', 'shopping bags', 'canned beer']"
1604,2014-02-03,"['rolls/buns', 'specialty bar']"
4443,2014-01-31,"['whole milk', 'other vegetables']"
1535,2014-06-08,"['whole milk', 'napkins']"
3137,2014-02-27,"['soda', 'whipped/sour cream', 'long life bakery product']"
2487,2015-03-27,"['tropical fruit', 'canned beer']"
3844,2014-09-25,"['coffee', 'beverages']"
1867,2014-11-19,"['newspapers', 'cream cheese ', 'yogurt', 'detergent']"
2592,2015-10-01,"['soda', 'sausage']"
3764,2015-08-01,"['yogurt', 'other vegetables']"
2666,2014-05-23,"['bottled beer', 'frozen vegetables']"
3969,2014-09-05,"['whole milk', 'waffles', 'dog food']"
1100,2014-02-20,"['pasta', 'hamburger meat']"
1899,2015-10-19,"['Instant food products', 'long life bakery product', 'butter milk']"
3113,2014-10-11,"['soda', 'margarine']"
1542,2015-05-15,"['whole milk', 'tropical fruit']"
4951,2014-05-10,"['newspapers', 'canned beer']"
1438,2015-02-26,"['oil', 'cream cheese ', 'onions', 'frankfurter']"
2258,2014-01-21,"['butter', 'ice cream', 'seasonal products']"
2025,2014-05-31,"['cake bar', 'hamburger meat', 'brown bread', 'pastry']"
4531,2014-12-17,"['chocolate marshmallow', 'flour']"
1997,2015-06-06,"['berries', 'bottled water', 'processed cheese', 'frankfurter', 'pickled vegetables']"
1474,2014-08-13,"['whole milk', 'newspapers', 'meat']"
4120,2015-12-11,"['softener', 'whole milk', 'pip fruit']"
2152,2014-09-07,"['whipped/sour cream', 'flour']"
1980,2015-10-15,"['bottled water', 'brown bread']"
3675,2015-07-04,"['whole milk', 'meat']"
4814,2015-09-13,['whole milk']
3442,2014-11-16,"['canned fish', 'fruit/vegetable juice']"
2050,2014-10-20,"['UHT-milk', 'rolls/buns']"
1838,2014-06-14,"['other vegetables', 'ice cream']"
1422,2015-01-01,"['turkey', 'tropical fruit', 'salty snack']"
4212,2015-05-01,"['tropical fruit', 'other vegetables']"
3191,2014-05-11,"['frozen vegetables', 'frozen meals', 'onions']"
4218,2015-10-03,"['root vegetables', 'domestic eggs', 'frankfurter', 'specialty fat', 'beef']"
2975,2015-10-09,"['fruit/vegetable juice', 'canned beer']"
