Review A,Review B,Base Similarity,Weighted Similarity
482,958,0.047,0.031
74,78,0.0,0.0
40,602,0.023,0.055
495,845,0.0,0.016
336,795,0.008,0.031
443,787,0.008,0.016
166,878,0.0,0.0
701,926,0.0,0.0
427,761,0.016,0.016
113,693,0.039,0.016
118,413,0.023,0.016
357,379,0.039,0.008
151,662,0.055,0.078
451,757,0.07,0.062
495,513,0.023,0.008
637,794,0.023,0.008
434,895,0.008,0.0
503,812,0.016,0.023
204,684,0.0,0.008
112,633,0.023,0.031
494,744,0.039,0.039
83,950,0.0,0.0
261,930,0.008,0.008
4,509,0.0,0.0
114,536,0.031,0.039
918,946,0.047,0.008
19,70,0.023,0.039
695,747,0.0,0.0
269,389,0.0,0.0
86,953,0.0,0.0
42,826,0.039,0.031
171,882,0.0,0.0
112,501,0.047,0.031
169,319,0.0,0.0
200,562,0.023,0.0
810,926,0.047,0.016
668,774,0.031,0.055
128,721,0.031,0.031
250,297,0.0,0.0
12,711,0.039,0.023
274,969,0.023,0.016
596,899,0.008,0.008
930,981,0.0,0.0
766,877,0.094,0.078
238,307,0.0,0.0
260,298,0.047,0.055
133,228,0.0,0.0
211,409,0.031,0.023
230,950,0.031,0.031
233,341,0.016,0.008
80,97,0.031,0.023
144,217,0.016,0.0
91,962,0.055,0.008
782,874,0.031,0.023
563,755,0.086,0.008
234,516,0.016,0.023
129,939,0.031,0.023
59,486,0.0,0.0
117,846,0.062,0.039
318,998,0.0,0.0
100,331,0.016,0.008
242,484,0.062,0.031
562,630,0.0,0.0
454,840,0.008,0.008
816,958,0.016,0.008
254,519,0.023,0.031
257,325,0.086,0.117
251,789,0.047,0.039
609,659,0.078,0.172
76,518,0.023,0.023
610,844,0.031,0.062
366,559,0.07,0.023
191,663,0.0,0.0
412,426,0.031,0.016
343,897,0.047,0.016
371,837,0.031,0.047
483,689,0.023,0.016
747,961,0.0,0.0
123,736,0.016,0.031
403,838,0.094,0.062
508,770,0.0,0.008
685,839,0.0,0.0
634,843,0.047,0.055
91,606,0.0,0.0
43,427,0.0,0.0
236,900,0.008,0.016
566,787,0.023,0.008
457,972,0.031,0.016
207,492,0.008,0.023
838,860,0.0,0.0
92,660,0.086,0.062
18,297,0.0,0.0
291,585,0.0,0.0
