Review A,Review B,Base MinHash Similarity,Weighted MinHash Similarity
426,621,0.016,0.016
60,260,0.0,0.055
13,217,0.031,0.062
528,971,0.031,0.0
156,597,0.0,0.0
137,984,0.0,0.0
124,901,0.008,0.031
76,161,0.0,0.07
523,673,0.047,0.0
55,332,0.055,0.031
461,738,0.031,0.008
527,979,0.0,0.0
747,885,0.0,0.016
345,960,0.047,0.0
46,708,0.039,0.031
383,508,0.062,0.078
253,593,0.0,0.0
16,816,0.008,0.008
15,758,0.031,0.0
50,449,0.086,0.078
122,255,0.0,0.008
130,627,0.047,0.008
314,721,0.039,0.0
393,446,0.0,0.0
14,32,0.0,0.0
358,874,0.023,0.0
110,464,0.0,0.086
501,653,0.0,0.023
435,992,0.016,0.062
486,524,0.055,0.141
345,737,0.0,0.0
251,827,0.039,0.031
123,324,0.031,0.039
272,915,0.0,0.016
382,480,0.016,0.008
158,572,0.016,0.0
611,952,0.047,0.0
703,923,0.078,0.008
3,417,0.016,0.031
548,808,0.047,0.008
607,617,0.031,0.086
87,623,0.0,0.039
482,912,0.047,0.0
253,956,0.0,0.0
198,289,0.031,0.016
158,404,0.0,0.0
85,257,0.0,0.031
120,267,0.023,0.023
554,580,0.07,0.023
195,778,0.023,0.039
55,183,0.016,0.055
49,900,0.086,0.023
224,616,0.07,0.008
52,138,0.078,0.031
210,574,0.0,0.0
667,777,0.016,0.0
200,632,0.031,0.0
394,736,0.016,0.008
150,161,0.023,0.078
608,912,0.016,0.0
23,80,0.023,0.016
515,975,0.039,0.055
280,491,0.016,0.031
338,767,0.0,0.0
67,790,0.047,0.016
820,979,0.047,0.0
223,661,0.039,0.039
42,259,0.0,0.016
351,556,0.062,0.062
167,905,0.055,0.031
639,966,0.008,0.0
416,741,0.039,0.008
407,718,0.0,0.0
733,976,0.07,0.023
690,868,0.0,0.008
212,391,0.023,0.023
372,449,0.039,0.023
106,592,0.031,0.0
489,693,0.023,0.0
37,207,0.016,0.0
24,350,0.016,0.016
446,820,0.023,0.0
127,740,0.016,0.039
565,771,0.023,0.0
165,583,0.102,0.0
42,779,0.023,0.0
679,972,0.0,0.0
130,695,0.047,0.016
698,936,0.062,0.102
54,493,0.039,0.0
224,720,0.031,0.016
158,458,0.039,0.0
275,943,0.047,0.0
422,957,0.047,0.0
646,942,0.0,0.016
214,497,0.07,0.109
89,372,0.047,0.031
217,952,0.016,0.016
208,209,0.023,0.016
116,745,0.039,0.0
455,560,0.016,0.0
151,601,0.047,0.0
486,783,0.0,0.109
869,961,0.055,0.016
468,590,0.055,0.031
434,587,0.062,0.039
38,215,0.0,0.0
399,560,0.008,0.0
422,587,0.055,0.0
94,285,0.016,0.016
336,996,0.008,0.055
515,658,0.008,0.047
137,942,0.039,0.023
89,764,0.023,0.008
282,543,0.07,0.031
224,368,0.016,0.016
153,465,0.016,0.078
830,867,0.031,0.047
426,922,0.039,0.016
472,896,0.0,0.008
355,548,0.023,0.0
122,767,0.0,0.0
469,620,0.0,0.0
187,783,0.0,0.023
660,688,0.008,0.117
559,897,0.0,0.023
569,582,0.008,0.0
29,792,0.0,0.0
128,472,0.008,0.023
628,996,0.016,0.062
16,982,0.008,0.07
605,996,0.023,0.062
182,224,0.016,0.023
239,245,0.0,0.039
152,154,0.094,0.023
35,367,0.016,0.086
117,636,0.016,0.109
795,952,0.016,0.0
898,906,0.0,0.023
363,795,0.0,0.023
716,872,0.055,0.0
503,653,0.055,0.023
181,634,0.102,0.008
118,617,0.086,0.023
441,541,0.016,0.031
309,945,0.023,0.0
235,391,0.07,0.016
732,839,0.023,0.0
799,886,0.008,0.0
429,704,0.078,0.047
279,910,0.023,0.031
77,986,0.031,0.0
150,349,0.008,0.125
76,209,0.016,0.023
139,173,0.0,0.0
532,899,0.008,0.0
